Tamanho,Threshold,MediaCPU,DesvioCPU,MediaReal,DesvioReal
3,-1,0.00000000,0.00000000,0.00000000,0.00000000
5,-1,0.00000000,0.00000000,0.00000000,0.00000000
10,-1,0.00000000,0.00000000,0.00000000,0.00000000
20,-1,0.00000000,0.00000000,0.00000000,0.00000000
40,-1,0.00000000,0.00000000,0.00000100,0.00000000
80,-1,0.00000000,0.00000000,0.00000100,0.00000000
160,-1,0.00000100,0.00000100,0.00000200,0.00000000
320,-1,0.00000300,0.00000100,0.00000300,0.00000100
640,-1,0.00000800,0.00000300,0.00000800,0.00000300
1280,-1,0.00003000,0.00000300,0.00003100,0.00000300
2560,-1,0.00008100,0.00000200,0.00008100,0.00000200
5120,-1,0.00018400,0.00000300,0.00018500,0.00000300
10240,-1,0.00040400,0.00000400,0.00040400,0.00000400
20480,-1,0.00089600,0.00004300,0.00089600,0.00004300
40960,-1,0.00192900,0.00007500,0.00192900,0.00007600
81920,-1,0.00410300,0.00003100,0.00410400,0.00003100
163840,-1,0.00868700,0.00004000,0.00868700,0.00004000
327680,-1,0.01837100,0.00008500,0.01837300,0.00008500
655360,-1,0.03870200,0.00014400,0.03870500,0.00014400
1310720,-1,0.08147100,0.00021500,0.08147700,0.00021500
2621440,-1,0.17082400,0.00041500,0.17083500,0.00041500
5242880,-1,0.35976900,0.00098300,0.35980100,0.00098600
10485760,-1,0.75389800,0.00295400,0.75395300,0.00297300
20971520,-1,1.57283000,0.00289900,1.57296400,0.00289300
41943040,-1,3.28318100,0.00420500,3.28354600,0.00421100
83886080,-1,6.82856400,0.00908700,6.82929000,0.00904900
167772160,-1,14.19821500,0.01961900,14.20237600,0.03340300
335544320,-1,30.19284900,0.03329400,30.19502100,0.03342200
671088640,-1,62.79911900,0.77873600,62.80969600,0.77729100
1342177280,-1,131.93896000,1.10139500,138.68408000,4.33271700
