Tamanho,Threshold,MediaCPU,DesvioCPU,MediaReal,DesvioReal,Algoritmo
3,70,0.00000,0.0,0.00000,0.0,Merge+Bubble
5,100,0.00000,0.0,0.00000,0.0,Merge+Bubble
10,28,0.0,0.0,0.0,0.0,Merge+Bubble
20,18,0.0,0.0,0.0,0.0,Merge+Bubble
40,8,0.0,0.0,0.0,0.0,Merge+Bubble
80,18,0.00000,0.0,0.00000,0.0,Merge+Bubble
160,8,0.00000,0.00000,0.00000,0.00000,Merge+Bubble
320,6,0.00000,0.0,0.00000,0.0,Merge+Bubble
640,6,0.00001,0.0,0.00001,0.0,Merge+Bubble
1280,16,0.00003,0.00000,0.00003,0.00000,Merge+Bubble
2560,6,0.00007,0.00000,0.00007,0.00000,Merge+Bubble
5120,4,0.000174,0.00001,0.000174,0.00001,Merge+Bubble
10240,6,0.000398,0.00001,0.000398,0.00001,Merge+Bubble
20480,8,0.000888,0.00001,0.000888,0.00001,Merge+Bubble
40960,8,0.001903,0.00002,0.001903,0.00003,Merge+Bubble
81920,6,0.004108,0.00004,0.004109,0.00004,Merge+Bubble
163840,6,0.008556,0.00007,0.008559,0.00007,Merge+Bubble
327680,6,0.018069,0.00014,0.018072,0.00014,Merge+Bubble
655360,6,0.038013,0.000181,0.038019,0.000184,Merge+Bubble
1310720,8,0.080036,0.000236,0.080048,0.000237,Merge+Bubble
2621440,6,0.168531,0.000393,0.168567,0.000404,Merge+Bubble
5242880,6,0.353654,0.000723,0.353735,0.000721,Merge+Bubble
10485760,6,0.740952,0.001052,0.741124,0.001046,Merge+Bubble
20971520,8,1.548581,0.002346,1.548879,0.002355,Merge+Bubble
41943040,6,3.229427,0.002083,3.230058,0.00209,Merge+Bubble
83886080,6,6.725776,0.005278,6.727106,0.005294,Merge+Bubble
167772160,8,13.969414,0.005126,13.972563,0.005068,Merge+Bubble
335544320,2,29.842659,0.139353,29.844588,0.139438,Merge+Bubble
671088640,6,60.414072,0.031465,60.425455,0.031352,Merge+Bubble
1342177280,8,128.739365,0.921112,136.60562,3.960657,Merge+Bubble
3,1000,0.0,0.0,0.0,0.0,Merge+Insertion
5,1000,0.0,0.0,0.0,0.0,Merge+Insertion
10,1000,0.0,0.0,0.0,0.0,Merge+Insertion
20,1000,0.0,0.0,0.0,0.0,Merge+Insertion
40,1000,0.0,0.0,0.0,0.0,Merge+Insertion
80,1000,0.00000,0.00000,0.00000,0.0,Merge+Insertion
160,100,0.00000,0.0,0.00000,0.0,Merge+Insertion
320,90,0.00000,0.0,0.00000,0.0,Merge+Insertion
640,70,0.00000,0.00000,0.00000,0.00000,Merge+Insertion
1280,26,0.00001,0.0,0.00001,0.0,Merge+Insertion
2560,80,0.00005,0.00000,0.00005,0.00000,Merge+Insertion
5120,90,0.000139,0.00000,0.000139,0.00000,Merge+Insertion
10240,80,0.000322,0.00000,0.000322,0.00000,Merge+Insertion
20480,100,0.00072,0.00000,0.00072,0.00000,Merge+Insertion
40960,90,0.001589,0.00001,0.001589,0.00001,Merge+Insertion
81920,100,0.003442,0.00002,0.003442,0.00002,Merge+Insertion
163840,80,0.007378,0.00002,0.007379,0.00002,Merge+Insertion
327680,80,0.015735,0.00006,0.015736,0.00006,Merge+Insertion
655360,90,0.03365,0.000867,0.033652,0.000867,Merge+Insertion
1310720,100,0.071017,0.001001,0.071021,0.001001,Merge+Insertion
2621440,80,0.150357,0.000415,0.150364,0.000415,Merge+Insertion
5242880,100,0.31724,0.000553,0.317271,0.000552,Merge+Insertion
10485760,100,0.667774,0.00082,0.667894,0.000822,Merge+Insertion
20971520,80,1.403862,0.00215,1.403975,0.002147,Merge+Insertion
41943040,80,2.945976,0.004327,2.946417,0.005057,Merge+Insertion
83886080,100,6.151226,0.008543,6.151943,0.008615,Merge+Insertion
167772160,100,12.854062,0.018056,12.857315,0.027211,Merge+Insertion
335544320,100,27.736429,0.282307,27.738502,0.282077,Merge+Insertion
671088640,90,56.348508,0.04175,56.3595,0.041495,Merge+Insertion
1342177280,90,121.341798,0.495959,129.810266,2.025457,Merge+Insertion
3,-1,0.0,0.0,0.0,0.0,Merge
5,-1,0.0,0.0,0.0,0.0,Merge
10,-1,0.0,0.0,0.0,0.0,Merge
20,-1,0.0,0.0,0.0,0.0,Merge
40,-1,0.0,0.0,0.00000,0.0,Merge
80,-1,0.0,0.0,0.00000,0.0,Merge
160,-1,0.00000,0.00000,0.00000,0.0,Merge
320,-1,0.00000,0.00000,0.00000,0.00000,Merge
640,-1,0.00001,0.00000,0.00001,0.00000,Merge
1280,-1,0.00003,0.00000,0.00003,0.00000,Merge
2560,-1,0.00008,0.00000,0.00008,0.00000,Merge
5120,-1,0.000184,0.00000,0.000185,0.00000,Merge
10240,-1,0.000404,0.00000,0.000404,0.00000,Merge
20480,-1,0.000896,0.00004,0.000896,0.00004,Merge
40960,-1,0.001929,0.00007,0.001929,0.00008,Merge
81920,-1,0.004103,0.00003,0.004104,0.00003,Merge
163840,-1,0.008687,0.00004,0.008687,0.00004,Merge
327680,-1,0.018371,0.00009,0.018373,0.00009,Merge
655360,-1,0.038702,0.000144,0.038705,0.000144,Merge
1310720,-1,0.081471,0.000215,0.081477,0.000215,Merge
2621440,-1,0.170824,0.000415,0.170835,0.000415,Merge
5242880,-1,0.359769,0.000983,0.359801,0.000986,Merge
10485760,-1,0.753898,0.002954,0.753953,0.002973,Merge
20971520,-1,1.57283,0.002899,1.572964,0.002893,Merge
41943040,-1,3.283181,0.004205,3.283546,0.004211,Merge
83886080,-1,6.828564,0.009087,6.82929,0.009049,Merge
167772160,-1,14.198215,0.019619,14.202376,0.033403,Merge
335544320,-1,30.192849,0.033294,30.195021,0.033422,Merge
671088640,-1,62.799119,0.778736,62.809696,0.777291,Merge
