Tamanho,Threshold,MediaCPU,DesvioCPU,MediaReal,DesvioReal
3,1000,0.00000000,0.00000000,0.00000000,0.00000000
5,1000,0.00000000,0.00000000,0.00000000,0.00000000
10,1000,0.00000000,0.00000000,0.00000000,0.00000000
20,1000,0.00000000,0.00000000,0.00000000,0.00000000
40,1000,0.00000000,0.00000000,0.00000000,0.00000000
80,70,0.00000000,0.00000000,0.00000100,0.00000000
160,100,0.00000100,0.00000000,0.00000100,0.00000000
320,70,0.00000100,0.00000100,0.00000200,0.00000000
640,60,0.00000300,0.00000000,0.00000400,0.00000000
1280,26,0.00000800,0.00000000,0.00000800,0.00000000
2560,90,0.00005200,0.00000200,0.00005300,0.00000200
5120,90,0.00013900,0.00000100,0.00013900,0.00000100
10240,80,0.00032200,0.00000200,0.00032200,0.00000300
20480,100,0.00072000,0.00000300,0.00072000,0.00000300
40960,90,0.00158900,0.00000600,0.00158900,0.00000600
81920,100,0.00344200,0.00001500,0.00344200,0.00001500
163840,80,0.00737800,0.00001900,0.00737900,0.00001900
327680,80,0.01573500,0.00006100,0.01573600,0.00006100
655360,90,0.03365000,0.00086700,0.03365200,0.00086700
1310720,100,0.07101700,0.00100100,0.07102100,0.00100100
2621440,80,0.15035700,0.00041500,0.15036400,0.00041500
5242880,100,0.31724000,0.00055300,0.31727100,0.00055200
10485760,100,0.66777400,0.00082000,0.66789400,0.00082200
20971520,80,1.40386200,0.00215000,1.40397500,0.00214700
41943040,80,2.94597600,0.00432700,2.94641700,0.00505700
83886080,100,6.15122600,0.00854300,6.15194300,0.00861500
167772160,100,12.85406200,0.01805600,12.85731500,0.02721100
335544320,100,27.73642900,0.28230700,27.73850200,0.28207700
671088640,90,56.34850800,0.04175000,56.35950000,0.04149500
1342177280,90,121.34179800,0.49595900,129.81026600,2.02545700
