Tamanho,Threshold,Execucao,TempoCPU,TempoReal
3,-1,1,0.000003,0.000006
3,-1,2,0.000001,0.000002
3,-1,3,0.000001,0.000002
3,-1,4,0.000001,0.000002
3,-1,5,0.000001,0.000002
3,-1,6,0.000001,0.000002
3,-1,7,0.000001,0.000002
3,-1,8,0.000001,0.000002
3,-1,9,0.000001,0.000002
3,-1,10,0.000001,0.000002
3,-1,11,0.000001,0.000002
3,-1,12,0.000001,0.000002
3,-1,13,0.000001,0.000002
3,-1,14,0.000001,0.000002
3,-1,15,0.000001,0.000002
3,-1,16,0.000001,0.000002
3,-1,17,0.000001,0.000002
3,-1,18,0.000001,0.000002
3,-1,19,0.000001,0.000002
3,-1,20,0.000001,0.000002
3,-1,21,0.000001,0.000002
3,-1,22,0.000001,0.000002
3,-1,23,0.000001,0.000002
3,-1,24,0.000001,0.000002
3,-1,25,0.000001,0.000002
3,-1,26,0.000001,0.000002
3,-1,27,0.000001,0.000002
3,-1,28,0.000001,0.000002
3,-1,29,0.000001,0.000002
3,-1,30,0.000001,0.000002
3,-1,31,0.000001,0.000002
3,-1,32,0.000001,0.000002
3,-1,33,0.000002,0.000002
3,-1,34,0.000001,0.000002
3,-1,35,0.000001,0.000002
3,-1,36,0.000001,0.000002
3,-1,37,0.000001,0.000002
3,-1,38,0.000001,0.000002
3,-1,39,0.000001,0.000002
3,-1,40,0.000001,0.000002
3,-1,41,0.000001,0.000002
3,-1,42,0.000001,0.000002
3,-1,43,0.000001,0.000002
3,-1,44,0.000001,0.000002
3,-1,45,0.000001,0.000002
3,-1,46,0.000001,0.000002
3,-1,47,0.000001,0.000002
3,-1,48,0.000001,0.000002
3,-1,49,0.000002,0.000002
3,-1,50,0.000001,0.000002
3,100,1,0.000001,0.000002
3,100,2,0.000001,0.000002
3,100,3,0.000001,0.000002
3,100,4,0.000001,0.000002
3,100,5,0.000001,0.000002
3,100,6,0.000001,0.000002
3,100,7,0.000001,0.000002
3,100,8,0.000001,0.000002
3,100,9,0.000001,0.000002
3,100,10,0.000001,0.000002
3,100,11,0.000001,0.000002
3,100,12,0.000001,0.000002
3,100,13,0.000001,0.000002
3,100,14,0.000001,0.000002
3,100,15,0.000001,0.000002
3,100,16,0.000001,0.000002
3,100,17,0.000001,0.000002
3,100,18,0.000001,0.000002
3,100,19,0.000001,0.000002
3,100,20,0.000001,0.000002
3,100,21,0.000001,0.000002
3,100,22,0.000001,0.000002
3,100,23,0.000001,0.000002
3,100,24,0.000001,0.000002
3,100,25,0.000001,0.000002
3,100,26,0.000001,0.000002
3,100,27,0.000001,0.000002
3,100,28,0.000001,0.000002
3,100,29,0.000001,0.000002
3,100,30,0.000001,0.000002
3,100,31,0.000001,0.000002
3,100,32,0.000001,0.000002
3,100,33,0.000001,0.000002
3,100,34,0.000001,0.000002
3,100,35,0.000001,0.000002
3,100,36,0.000001,0.000002
3,100,37,0.000001,0.000002
3,100,38,0.000001,0.000002
3,100,39,0.000001,0.000002
3,100,40,0.000001,0.000002
3,100,41,0.000001,0.000002
3,100,42,0.000001,0.000002
