Tamanho,Threshold,MediaCPU,DesvioCPU,MediaReal,DesvioReal
3,-1,0.000001,0.000000,0.000002,0.000001
3,100,0.000001,0.000000,0.000002,0.000000
3,90,0.000001,0.000000,0.000002,0.000000
3,80,0.000001,0.000005,0.000003,0.000008
3,70,0.000001,0.000000,0.000001,0.000000
3,60,0.000001,0.000000,0.000001,0.000000
3,50,0.000001,0.000000,0.000001,0.000000
3,40,0.000001,0.000001,0.000001,0.000000
3,30,0.000001,0.000000,0.000001,0.000000
3,28,0.000001,0.000000,0.000001,0.000000
3,26,0.000001,0.000000,0.000002,0.000001
3,24,0.000001,0.000000,0.000001,0.000000
3,22,0.000001,0.000000,0.000001,0.000000
3,20,0.000001,0.000000,0.000001,0.000000
3,18,0.000001,0.000000,0.000001,0.000000
3,16,0.000001,0.000000,0.000001,0.000000
3,14,0.000001,0.000000,0.000001,0.000000
3,12,0.000001,0.000000,0.000001,0.000000
3,10,0.000001,0.000001,0.000001,0.000001
3,8,0.000001,0.000000,0.000001,0.000000
3,6,0.000001,0.000000,0.000001,0.000000
3,4,0.000001,0.000000,0.000001,0.000000
3,2,0.000001,0.000000,0.000001,0.000000
5,-1,0.000001,0.000000,0.000001,0.000000
5,100,0.000001,0.000000,0.000001,0.000000
5,90,0.000001,0.000000,0.000001,0.000000
5,80,0.000001,0.000000,0.000002,0.000001
5,70,0.000001,0.000000,0.000001,0.000000
5,60,0.000001,0.000000,0.000001,0.000000
5,50,0.000001,0.000000,0.000001,0.000000
5,40,0.000001,0.000000,0.000001,0.000000
5,30,0.000001,0.000000,0.000001,0.000000
5,28,0.000001,0.000000,0.000001,0.000000
5,26,0.000001,0.000000,0.000001,0.000000
5,24,0.000001,0.000001,0.000002,0.000001
5,22,0.000001,0.000000,0.000001,0.000000
5,20,0.000001,0.000000,0.000001,0.000000
5,18,0.000001,0.000000,0.000001,0.000000
5,16,0.000001,0.000000,0.000001,0.000000
5,14,0.000001,0.000000,0.000001,0.000000
5,12,0.000001,0.000000,0.000001,0.000000
5,10,0.000001,0.000001,0.000001,0.000001
5,8,0.000001,0.000000,0.000001,0.000000
5,6,0.000001,0.000000,0.000001,0.000000
5,4,0.000001,0.000000,0.000001,0.000000
5,2,0.000001,0.000000,0.000001,0.000000
10,-1,0.000001,0.000000,0.000002,0.000000
10,100,0.000001,0.000000,0.000002,0.000000
10,90,0.000001,0.000000,0.000002,0.000000
10,80,0.000001,0.000000,0.000002,0.000001
10,70,0.000001,0.000000,0.000002,0.000000
10,60,0.000001,0.000000,0.000002,0.000000
10,50,0.000001,0.000000,0.000002,0.000000
10,40,0.000001,0.000000,0.000002,0.000000
10,30,0.000001,0.000000,0.000001,0.000001
10,28,0.000000,0.000000,0.000000,0.000000
10,26,0.000000,0.000000,0.000000,0.000000
10,24,0.000000,0.000000,0.000000,0.000000
10,22,0.000000,0.000000,0.000000,0.000000
10,20,0.000000,0.000000,0.000000,0.000000
10,18,0.000000,0.000000,0.000000,0.000000
10,16,0.000000,0.000000,0.000000,0.000000
10,14,0.000000,0.000000,0.000000,0.000000
10,12,0.000000,0.000000,0.000000,0.000000
10,10,0.000000,0.000000,0.000000,0.000000
10,8,0.000000,0.000000,0.000000,0.000000
10,6,0.000000,0.000000,0.000000,0.000000
10,4,0.000000,0.000000,0.000000,0.000000
10,2,0.000000,0.000000,0.000000,0.000000
20,-1,0.000000,0.000001,0.000000,0.000000
20,100,0.000001,0.000000,0.000001,0.000000
20,90,0.000001,0.000000,0.000001,0.000000
20,80,0.000001,0.000000,0.000001,0.000000
20,70,0.000001,0.000000,0.000001,0.000000
20,60,0.000001,0.000000,0.000001,0.000000
20,50,0.000000,0.000000,0.000001,0.000000
20,40,0.000000,0.000000,0.000001,0.000000
20,30,0.000001,0.000000,0.000001,0.000000
20,28,0.000001,0.000000,0.000001,0.000000
20,26,0.000001,0.000000,0.000001,0.000000
20,24,0.000001,0.000000,0.000001,0.000000
20,22,0.000001,0.000000,0.000001,0.000000
20,20,0.000000,0.000000,0.000001,0.000000
20,18,0.000000,0.000000,0.000000,0.000000
20,16,0.000000,0.000000,0.000000,0.000000
20,14,0.000000,0.000000,0.000000,0.000000
20,12,0.000000,0.000000,0.000000,0.000000
20,10,0.000000,0.000000,0.000000,0.000000
20,8,0.000000,0.000000,0.000000,0.000000
20,6,0.000000,0.000000,0.000000,0.000000
20,4,0.000000,0.000000,0.000000,0.000000
20,2,0.000000,0.000000,0.000000,0.000000
40,-1,0.000000,0.000000,0.000001,0.000000
40,100,0.000002,0.000000,0.000002,0.000000
40,90,0.000002,0.000000,0.000002,0.000000
40,80,0.000002,0.000000,0.000002,0.000000
40,70,0.000002,0.000000,0.000002,0.000000
40,60,0.000002,0.000000,0.000002,0.000000
40,50,0.000002,0.000000,0.000002,0.000000
40,40,0.000002,0.000000,0.000002,0.000000
40,30,0.000001,0.000000,0.000001,0.000000
40,28,0.000001,0.000000,0.000001,0.000000
40,26,0.000001,0.000000,0.000001,0.000000
40,24,0.000001,0.000000,0.000001,0.000000
40,22,0.000001,0.000000,0.000001,0.000000
40,20,0.000001,0.000000,0.000001,0.000000
40,18,0.000001,0.000000,0.000001,0.000000
40,16,0.000001,0.000000,0.000001,0.000000
40,14,0.000001,0.000000,0.000001,0.000000
40,12,0.000001,0.000000,0.000001,0.000000
40,10,0.000001,0.000000,0.000001,0.000000
40,8,0.000000,0.000000,0.000000,0.000000
40,6,0.000000,0.000000,0.000000,0.000000
40,4,0.000000,0.000000,0.000000,0.000000
40,2,0.000000,0.000000,0.000000,0.000000
80,-1,0.000001,0.000001,0.000001,0.000000
80,100,0.000007,0.000001,0.000007,0.000001
80,90,0.000007,0.000000,0.000007,0.000000
80,80,0.000007,0.000000,0.000007,0.000000
80,70,0.000003,0.000000,0.000003,0.000000
80,60,0.000003,0.000000,0.000003,0.000000
80,50,0.000003,0.000000,0.000003,0.000000
80,40,0.000003,0.000000,0.000003,0.000000
80,30,0.000002,0.000000,0.000002,0.000000
80,28,0.000002,0.000000,0.000002,0.000000
80,26,0.000002,0.000000,0.000002,0.000000
80,24,0.000002,0.000000,0.000002,0.000000
