Tamanho,Threshold,Execucao,TempoCPU,TempoReal
3,-1,1,0.000001,0.000001
3,-1,2,0.000000,0.000000
3,-1,3,0.000000,0.000000
3,-1,4,0.000000,0.000000
3,-1,5,0.000000,0.000000
3,-1,6,0.000000,0.000000
3,-1,7,0.000000,0.000000
3,-1,8,0.000000,0.000000
3,-1,9,0.000000,0.000000
3,-1,10,0.000000,0.000000
3,-1,11,0.000000,0.000000
3,-1,12,0.000000,0.000000
3,-1,13,0.000000,0.000000
3,-1,14,0.000000,0.000000
3,-1,15,0.000000,0.000000
3,-1,16,0.000000,0.000000
3,-1,17,0.000000,0.000000
3,-1,18,0.000000,0.000000
3,-1,19,0.000000,0.000000
3,-1,20,0.000000,0.000000
3,-1,21,0.000000,0.000000
3,-1,22,0.000000,0.000000
3,-1,23,0.000000,0.000000
3,-1,24,0.000000,0.000000
3,-1,25,0.000001,0.000000
3,-1,26,0.000000,0.000000
3,-1,27,0.000000,0.000000
3,-1,28,0.000000,0.000000
3,-1,29,0.000001,0.000000
3,-1,30,0.000000,0.000000
3,-1,31,0.000001,0.000000
3,-1,32,0.000000,0.000000
3,-1,33,0.000001,0.000000
3,-1,34,0.000000,0.000000
3,-1,35,0.000001,0.000000
3,-1,36,0.000000,0.000000
3,-1,37,0.000001,0.000000
3,-1,38,0.000000,0.000000
3,-1,39,0.000001,0.000000
3,-1,40,0.000000,0.000000
3,-1,41,0.000001,0.000000
3,-1,42,0.000000,0.000000
3,-1,43,0.000001,0.000000
3,-1,44,0.000000,0.000000
3,-1,45,0.000000,0.000000
3,-1,46,0.000000,0.000000
3,-1,47,0.000000,0.000000
3,-1,48,0.000000,0.000000
3,-1,49,0.000000,0.000000
3,-1,50,0.000000,0.000000
3,1000,1,0.000000,0.000000
3,1000,2,0.000001,0.000000
3,1000,3,0.000000,0.000000
3,1000,4,0.000001,0.000000
3,1000,5,0.000000,0.000000
3,1000,6,0.000001,0.000000
3,1000,7,0.000000,0.000000
3,1000,8,0.000001,0.000000
3,1000,9,0.000000,0.000000
3,1000,10,0.000001,0.000000
3,1000,11,0.000000,0.000000
3,1000,12,0.000001,0.000000
3,1000,13,0.000000,0.000000
3,1000,14,0.000001,0.000000
3,1000,15,0.000000,0.000000
3,1000,16,0.000000,0.000000
3,1000,17,0.000000,0.000000
3,1000,18,0.000000,0.000000
3,1000,19,0.000000,0.000000
3,1000,20,0.000000,0.000000
3,1000,21,0.000000,0.000000
3,1000,22,0.000000,0.000000
3,1000,23,0.000000,0.000000
3,1000,24,0.000000,0.000000
3,1000,25,0.000000,0.000000
3,1000,26,0.000000,0.000000
3,1000,27,0.000000,0.000000
3,1000,28,0.000000,0.000000
3,1000,29,0.000000,0.000000
3,1000,30,0.000000,0.000000
3,1000,31,0.000000,0.000000
3,1000,32,0.000000,0.000000
3,1000,33,0.000001,0.000000
3,1000,34,0.000000,0.000000
3,1000,35,0.000001,0.000000
3,1000,36,0.000000,0.000000
3,1000,37,0.000001,0.000000
3,1000,38,0.000000,0.000000
3,1000,39,0.000001,0.000000
3,1000,40,0.000000,0.000000
3,1000,41,0.000001,0.000000
3,1000,42,0.000000,0.000000
3,1000,43,0.000001,0.000000
3,1000,44,0.000000,0.000000
3,1000,45,0.000001,0.000000
3,1000,46,0.000000,0.000000
3,1000,47,0.000001,0.000000
3,1000,48,0.000000,0.000000
3,1000,49,0.000001,0.000000
3,1000,50,0.000000,0.000000
3,100,1,0.000000,0.000000
3,100,2,0.000000,0.000000
3,100,3,0.000000,0.000000
3,100,4,0.000000,0.000000
3,100,5,0.000000,0.000000
3,100,6,0.000001,0.000000
3,100,7,0.000000,0.000000
3,100,8,0.000001,0.000000
3,100,9,0.000000,0.000000
3,100,10,0.000001,0.000000
3,100,11,0.000000,0.000000
3,100,12,0.000001,0.000000
3,100,13,0.000000,0.000000
3,100,14,0.000001,0.000000
3,100,15,0.000000,0.000000
3,100,16,0.000000,0.000000
3,100,17,0.000000,0.000000
3,100,18,0.000000,0.000000
3,100,19,0.000000,0.000000
3,100,20,0.000000,0.000000
3,100,21,0.000000,0.000000
3,100,22,0.000000,0.000000
3,100,23,0.000000,0.000000
3,100,24,0.000000,0.000000
3,100,25,0.000000,0.000000
3,100,26,0.000000,0.000000
3,100,27,0.000000,0.000000
3,100,28,0.000000,0.000000
3,100,29,0.000001,0.000000
3,100,30,0.000000,0.000000
3,100,31,0.000001,0.000000
3,100,32,0.000000,0.000000
3,100,33,0.000001,0.000000
3,100,34,0.000000,0.000000
3,100,35,0.000001,0.000000
3,100,36,0.000000,0.000000
3,100,37,0.000001,0.000000
3,100,38,0.000000,0.000000
3,100,39,0.000001,0.000000
3,100,40,0.000000,0.000000
3,100,41,0.000001,0.000000
3,100,42,0.000000,0.000000
3,100,43,0.000001,0.000000
3,100,44,0.000000,0.000000
3,100,45,0.000001,0.000000
3,100,46,0.000000,0.000000
3,100,47,0.000001,0.000000
3,100,48,0.000000,0.000000
3,100,49,0.000001,0.000000
3,100,50,0.000000,0.000000
3,90,1,0.000000,0.000000
3,90,2,0.000001,0.000000
3,90,3,0.000000,0.000000
3,90,4,0.000000,0.000000
3,90,5,0.000000,0.000000
3,90,6,0.000000,0.000000
3,90,7,0.000000,0.000000
3,90,8,0.000000,0.000000
3,90,9,0.000000,0.000000
3,90,10,0.000001,0.000000
3,90,11,0.000000,0.000000
3,90,12,0.000000,0.000000
3,90,13,0.000000,0.000000
3,90,14,0.000001,0.000000
3,90,15,0.000000,0.000000
3,90,16,0.000001,0.000000
3,90,17,0.000000,0.000000
3,90,18,0.000001,0.000000
3,90,19,0.000000,0.000000
3,90,20,0.000000,0.000000
3,90,21,0.000000,0.000000
3,90,22,0.000000,0.000000
3,90,23,0.000000,0.000000
3,90,24,0.000000,0.000000
3,90,25,0.000000,0.000000
3,90,26,0.000000,0.000000
3,90,27,0.000000,0.000000
3,90,28,0.000000,0.000000
3,90,29,0.000000,0.000000
3,90,30,0.000000,0.000000
3,90,31,0.000000,0.000000
3,90,32,0.000000,0.000000
3,90,33,0.000001,0.000000
3,90,34,0.000000,0.000000
3,90,35,0.000000,0.000000
3,90,36,0.000000,0.000000
3,90,37,0.000000,0.000000
3,90,38,0.000000,0.000000
3,90,39,0.000000,0.000000
3,90,40,0.000000,0.000000
3,90,41,0.000000,0.000000
3,90,42,0.000000,0.000000
3,90,43,0.000000,0.000000
3,90,44,0.000000,0.000000
3,90,45,0.000001,0.000000
3,90,46,0.000000,0.000000
3,90,47,0.000001,0.000000
3,90,48,0.000000,0.000000
3,90,49,0.000001,0.000000
3,90,50,0.000000,0.000000
3,80,1,0.000000,0.000000
3,80,2,0.000000,0.000000
3,80,3,0.000000,0.000000
3,80,4,0.000001,0.000000
3,80,5,0.000000,0.000000
3,80,6,0.000001,0.000000
3,80,7,0.000000,0.000000
3,80,8,0.000001,0.000000
3,80,9,0.000000,0.000000
3,80,10,0.000001,0.000000
3,80,11,0.000000,0.000000
3,80,12,0.000001,0.000000
3,80,13,0.000000,0.000000
3,80,14,0.000001,0.000000
3,80,15,0.000000,0.000000
3,80,16,0.000000,0.000000
3,80,17,0.000000,0.000000
3,80,18,0.000000,0.000000
3,80,19,0.000000,0.000000
3,80,20,0.000000,0.000000
3,80,21,0.000000,0.000000
3,80,22,0.000000,0.000000
3,80,23,0.000000,0.000000
3,80,24,0.000000,0.000000
3,80,25,0.000000,0.000000
3,80,26,0.000000,0.000000
3,80,27,0.000000,0.000000
3,80,28,0.000000,0.000000
3,80,29,0.000001,0.000000
3,80,30,0.000000,0.000000
3,80,31,0.000001,0.000000
3,80,32,0.000000,0.000000
3,80,33,0.000001,0.000000
3,80,34,0.000000,0.000000
3,80,35,0.000000,0.000000
3,80,36,0.000000,0.000000
3,80,37,0.000000,0.000000
3,80,38,0.000000,0.000000
3,80,39,0.000000,0.000000
3,80,40,0.000000,0.000000
3,80,41,0.000000,0.000000
3,80,42,0.000000,0.000000
3,80,43,0.000000,0.000000
3,80,44,0.000000,0.000000
3,80,45,0.000000,0.000000
3,80,46,0.000000,0.000000
3,80,47,0.000000,0.000000
3,80,48,0.000001,0.000000
3,80,49,0.000000,0.000000
3,80,50,0.000001,0.000000
3,70,1,0.000001,0.000000
3,70,2,0.000000,0.000000
3,70,3,0.000001,0.000000
3,70,4,0.000000,0.000000
3,70,5,0.000001,0.000000
3,70,6,0.000000,0.000000
3,70,7,0.000001,0.000000
3,70,8,0.000000,0.000000
3,70,9,0.000001,0.000000
3,70,10,0.000000,0.000000
3,70,11,0.000001,0.000000
3,70,12,0.000000,0.000000
3,70,13,0.000000,0.000000
3,70,14,0.000000,0.000000
3,70,15,0.000000,0.000000
3,70,16,0.000000,0.000000
3,70,17,0.000000,0.000000
3,70,18,0.000000,0.000000
3,70,19,0.000000,0.000000
3,70,20,0.000000,0.000000
3,70,21,0.000000,0.000000
3,70,22,0.000000,0.000000
3,70,23,0.000000,0.000000
3,70,24,0.000000,0.000000
3,70,25,0.000000,0.000000
3,70,26,0.000000,0.000000
3,70,27,0.000000,0.000000
3,70,28,0.000001,0.000000
3,70,29,0.000000,0.000000
3,70,30,0.000001,0.000000
3,70,31,0.000000,0.000000
3,70,32,0.000001,0.000000
3,70,33,0.000000,0.000000
3,70,34,0.000000,0.000000
3,70,35,0.000000,0.000000
3,70,36,0.000000,0.000000
3,70,37,0.000000,0.000000
3,70,38,0.000000,0.000000
3,70,39,0.000000,0.000000
3,70,40,0.000000,0.000000
3,70,41,0.000000,0.000000
3,70,42,0.000000,0.000000
3,70,43,0.000000,0.000000
3,70,44,0.000000,0.000000
3,70,45,0.000000,0.000000
3,70,46,0.000000,0.000000
3,70,47,0.000001,0.000000
3,70,48,0.000000,0.000000
3,70,49,0.000001,0.000000
3,70,50,0.000000,0.000000
3,60,1,0.000000,0.000000
3,60,2,0.000001,0.000000
3,60,3,0.000000,0.000000
3,60,4,0.000001,0.000000
3,60,5,0.000000,0.000000
3,60,6,0.000000,0.000000
3,60,7,0.000000,0.000000
3,60,8,0.000000,0.000000
3,60,9,0.000000,0.000000
3,60,10,0.000000,0.000000
3,60,11,0.000001,0.000000
3,60,12,0.000000,0.000000
3,60,13,0.000000,0.000000
3,60,14,0.000000,0.000000
3,60,15,0.000000,0.000000
3,60,16,0.000000,0.000000
3,60,17,0.000001,0.000000
3,60,18,0.000000,0.000000
3,60,19,0.000001,0.000000
3,60,20,0.000000,0.000000
3,60,21,0.000001,0.000000
3,60,22,0.000000,0.000000
3,60,23,0.000001,0.000000
3,60,24,0.000000,0.000000
3,60,25,0.000001,0.000000
3,60,26,0.000000,0.000000
3,60,27,0.000000,0.000000
3,60,28,0.000000,0.000000
3,60,29,0.000000,0.000000
3,60,30,0.000000,0.000000
3,60,31,0.000000,0.000000
3,60,32,0.000000,0.000000
3,60,33,0.000000,0.000000
3,60,34,0.000000,0.000000
3,60,35,0.000000,0.000000
